Loading repository data...
Reading installed packages...

S  | Name                                       | Summary                                                                            | Type
---+--------------------------------------------+------------------------------------------------------------------------------------+--------
i+ | 1password                                  | Password manager and secure wallet                                                 | package
i  | aaa_base                                   | openSUSE Base Package                                                              | package
i  | aaa_base-extras                            | SUSE Linux Base Package (recommended part)                                         | package
i  | acl                                        | Commands for Manipulating POSIX Access Control Lists                               | package
i  | acpica                                     | A set of tools to display and debug BIOS ACPI tables                               | package
i  | adobe-sourcecodepro-fonts                  | A set of OpenType fonts designed for coding environments                           | package
i  | adobe-sourcesans3-fonts                    | A set of OpenType fonts designed for user interfaces                               | package
i  | adwaita-icon-theme                         | GNOME Icon Theme                                                                   | package
i  | alsa-topology-conf                         | ALSA topology configurations                                                       | package
i  | alts                                       | Helper for executing preferred application based on user preferences               | package
i+ | apparmor                                   | AppArmor                                                                           | pattern
i  | apparmor-abstractions                      | AppArmor abstractions and directory structure                                      | package
i  | apparmor-docs                              | AppArmor Documentation package                                                     | package
i  | apparmor-parser                            | AppArmor userlevel parser utility                                                  | package
i  | apparmor-profiles                          | AppArmor profiles that are loaded into the apparmor kernel module                  | package
i  | apparmor-utils                             | AppArmor User-Level Utilities Useful for Creating AppArmor Profiles                | package
i  | attr                                       | Commands for Manipulating Extended Attributes                                      | package
i  | audit                                      | User Space Tools for Kernel Auditing                                               | package
i  | augeas                                     | An utility for changing configuration files                                        | package
i  | augeas-bash-completion                     | Bash completion for augeas                                                         | package
i  | augeas-lenses                              | Official set of lenses for use by libaugeas                                        | package
i  | autofs                                     | A Kernel-Based Automounter                                                         | package
i  | autoyast2-installation                     | YaST2 - Auto Installation Modules                                                  | package
i  | base                                       | Base System                                                                        | pattern
i  | bash                                       | The GNU Bourne-Again Shell                                                         | package
i  | bash-completion                            | Programmable Completion for Bash                                                   | package
i  | bash-doc                                   | Documentation how to Use the GNU Bourne-Again Shell                                | package
i  | bash-sh                                    | Handle behaviour of /bin/sh                                                        | package
i+ | bat                                        | A cat(1) clone with syntax highlighting and Git integration                        | package
i  | bat-bash-completion                        | Bash completion for bat                                                            | package
i  | bat-fish-completion                        | Fish completion for bat                                                            | package
i+ | bc                                         | GNU Command Line Calculator                                                        | package
i  | bind-utils                                 | Libraries for "bind" and utilities to query and test DNS                           | package
i  | binutils                                   | GNU Binutils                                                                       | package
i  | blog                                       | Boot logging                                                                       | package
i+ | books                                      | Documentation                                                                      | pattern
i  | boost-license1_82_0                        | Boost License                                                                      | package
i  | branding-openSUSE                          | openSUSE Tumbleweed Brand File                                                     | package
i+ | brightnessctl                              | Tool to read and control device brightness                                         | package
i  | btrfsmaintenance                           | Scripts for btrfs periodic maintenance tasks                                       | package
i+ | btrfsprogs                                 | Utilities for the Btrfs filesystem                                                 | package
i  | btrfsprogs-bash-completion                 | Bash completion for btrfsprogs                                                     | package
i  | btrfsprogs-udev-rules                      | Udev rules for configuring btrfs file systems                                      | package
i  | bubblewrap                                 | Core execution tool for unprivileged containers                                    | package
i  | busybox-static                             | Static linked version of Busybox, a compact UNIX utility collection                | package
i  | bzip2                                      | A Program for Compressing Files                                                    | package
i  | ca-certificates                            | Utilities for system wide CA certificate installation                              | package
i  | ca-certificates-mozilla                    | CA certificates for OpenSSL                                                        | package
i  | cantarell-fonts                            | Contemporary Humanist Sans Serif Font                                              | package
i  | checkmedia                                 | Check installation or Live media                                                   | package
i+ | chezmoi                                    | A multi-host manager for dotfiles                                                  | package
i  | chezmoi-bash-completion                    | Bash completion for chezmoi                                                        | package
i  | chezmoi-fish-completion                    | Fish completion for chezmoi                                                        | package
i  | chkstat                                    | SUSE Linux Default Permissions tool                                                | package
i+ | chrony                                     | System Clock Synchronization Client and Server                                     | package
i  | chrony-pool-openSUSE                       | Chrony preconfiguration for openSUSE                                               | package
i  | cifs-utils                                 | Utilities for doing and managing mounts of the Linux CIFS filesystem               | package
i+ | clang                                      | CLANG frontend for LLVM                                                            | package
i  | clang-tools                                | Tools for Clang                                                                    | package
i  | clang16                                    | CLANG frontend for LLVM                                                            | package
i  | clang17                                    | CLANG frontend for LLVM                                                            | package
i+ | cmake                                      | Cross-platform make system                                                         | package
i  | cmake-full                                 | Cross-platform make system                                                         | package
i  | cmake-man                                  | Manual pages for cmake, a cross-platform make system                               | package
i  | cnf-rs                                     | A command-not-found handler for openSUSE                                           | package
i  | cnf-rs-bash                                | Integration of cnf-rs with bash                                                    | package
i  | compat-usrmerge-tools                      | UsrMerge tools                                                                     | package
i  | coreutils                                  | GNU Core Utilities                                                                 | package
i  | coreutils-doc                              | Documentation for the GNU Core Utilities                                           | package
i  | coreutils-systemd                          | GNU Core Utilities                                                                 | package
i  | cpio                                       | A Backup and Archiving Utility                                                     | package
i  | cpio-mt                                    | Tape drive control utility                                                         | package
i  | cpp                                        | The system GNU Preprocessor                                                        | package
i  | cpp13                                      | The GCC Preprocessor                                                               | package
i  | cpupower                                   | Tools to determine and set CPU Power related Settings                              | package
i  | cpupower-bash-completion                   | Bash completion for cpupower                                                       | package
i  | cracklib                                   | Library to crack passwords using dictionaries                                      | package
i  | cracklib-dict-full                         | A Password-Checking Library                                                        | package
i  | crda                                       | 802.11 central regulatory domain agent                                             | package
i  | crypto-policies                            | System-wide crypto policies                                                        | package
i  | crypto-policies-scripts                    | Tool to switch between crypto policies                                             | package
i+ | cryptsetup                                 | Setup program for dm-crypt Based Encrypted Block Devices                           | package
i  | cryptsetup-doc                             | Cryptsetup Documentation                                                           | package
i  | cups                                       | The Common UNIX Printing System                                                    | package
i  | cups-client                                | CUPS Client Programs                                                               | package
i  | cups-config                                | CUPS library configuration files                                                   | package
i  | cups-filters                               | OpenPrinting CUPS filters, backends, and cups-browsed                              | package
i  | cups-pk-helper                             | PolicyKit helper to configure cups with fine-grained privileges                    | package
i  | curl                                       | A Tool for Transferring Data from URLs                                             | package
i  | dbus-1                                     | D-Bus Message Bus System                                                           | package
i  | dbus-1-common                              | D-BUS message bus configuration                                                    | package
i  | dbus-1-daemon                              | D-Bus message bus daemon                                                           | package
i  | dbus-1-tools                               | Tools that go along with dbus                                                      | package
i  | dbus-1-x11                                 | D-Bus Message Bus System                                                           | package
i  | dconf                                      | Key-based configuration system                                                     | package
i  | debuginfod-client                          | Command line client for build-id HTTP ELF/DWARF server                             | package
i  | debuginfod-profile                         | Profile files for build-id HTTP ELF/DWARF server                                   | package
i  | deltarpm                                   | Tools to Create and Apply deltarpms                                                | package
i  | desktop-data-openSUSE                      | Shared Desktop Files for openSUSE                                                  | package
i  | desktop-file-utils                         | Utilities for Manipulating Desktop Files                                           | package
i  | desktop-translations                       | Desktop Files Translations                                                         | package
i  | device-mapper                              | Device Mapper Tools                                                                | package
