TIME                PID      VER  CMD
2023-09-05 01:29   1718  1.14.62  sudo zypper in fish
2023-09-05 01:29   1774  1.14.62  sudo zypper in --no-recommends bc fish libpcre2-32-0
2023-09-05 01:29   2076  1.14.62  sudo zypper in foot
2023-09-05 01:35   3419  1.14.62  sudo zypper in git firefox make neovim exa lazygit bat ripgrep fd chezmoi fzf starship gh cmake gcc git-delta intel-media-driver clang opi flatpak nemo
2023-09-05 01:43   9909  1.14.62  sudo zypper in 1password-latest.rpm
2023-09-05 01:48  12561  1.14.62  sudo zypper ref
2023-09-05 01:48  12746  1.14.62  sudo zypper dup --from packman --allow-downgrade --allow-vendor-change
2023-09-05 01:49  13650  1.14.62  sudo zypper in --from packman ffmpeg libavcodec-full vlc-codecs gstreamer-plugins-bad-codecs gstreamer-plugins-ugly-codecs gstreamer-plugins-libav libfdk-aac2 pipewire-aptx ffmpeg>=5
2023-09-05 01:50  15134  1.14.62  sudo zypper in gstreamer-plugins-good gstreamer-plugins-good-extra gstreamer-plugins-bad gstreamer-plugins-ugly
2023-09-05 01:51  16329  1.14.62  sudo zypper dup --from repo-openh264 --allow-downgrade --allow-vendor-change
2023-09-05 01:51  16359  1.14.62  sudo zypper in mozilla-openh264 libgstopenh264.so()(64bit)
2023-09-05 02:01  19006  1.14.62  sudo zypper in password-store
2023-09-05 02:02  19133  1.14.62  sudo zypper in --no-recommends password-store
2023-09-05 02:03  20646  1.14.62  sudo zypper rm wofi
2023-09-05 02:04  20737  1.14.62  sudo zypper rm alacritty
2023-09-05 02:04  22256  1.14.62  sudo zypper rm wofi
2023-09-05 02:04  23822  1.14.62  sudo zypper rm sway
2023-09-05 02:06   1696  1.14.62  sudo zypper rm alacritty-bash-completion
2023-09-05 02:21  10100  1.14.62  sudo zypper in fuzzel
2023-09-05 02:27  14507  1.14.62  sudo zypper dup
2023-09-05 03:33  10260  1.14.62  sudo zypper in picocom
2023-09-05 13:00   7964  1.14.62  sudo zypper in noto-sans-fonts noto-serif-fonts
2023-09-05 13:09  19715  1.14.62  sudo zypper in htop
2023-09-05 13:36   5729  1.14.62  sudo zypper dup
2023-09-05 13:50  10159  1.14.62  sudo zypper in qutebrowser
2023-09-05 13:51  10343  1.14.62  sudo zypper in --no-recommends qutebrowser
2023-09-05 13:53  12217  1.14.62  sudo zypper in python311-adblock
2023-09-05 14:30  21273  1.14.62  sudo zypper rm -u python311-adblock
2023-09-05 14:30  22563  1.14.62  sudo zypper rm -u qutebrowser
2023-09-05 20:26   1766  1.14.62  sudo zypper refresh
2023-09-05 20:27   1893  1.14.62  sudo zypper in xreader
2023-09-05 20:27   2270  1.14.62  sudo zypper install zathura
2023-09-07 16:54   9360  1.14.62  sudo zypper refresh
